50 25.000000 
62 inf 
77 inf 
96 96.000000 
120 120.000000 
150 150.000000 
187 187.000000 
233 233.000000 
291 291.000000 
363 181.500000 
453 453.000000 
566 283.000000 
707 353.500000 
883 294.333333 
1103 367.666667 
1378 344.500000 
1722 344.400000 
2152 307.428571 
2690 336.250000 
3362 305.636364 
4202 323.230769 
5252 525.200000 
6565 729.444444 
8206 631.230769 
10257 641.062500 
12821 674.789474 
16026 696.782609 
20032 690.758621 
25040 658.947368 
31300 680.434783 
39125 298.664122 
48906 298.207317 
61132 298.204878 
76415 311.897959 
95518 295.721362 
119397 431.036101 
149246 426.417143 
186557 373.114000 
233196 123.384127 
291495 330.493197 
364368 309.573492 
455460 384.030354 
569325 358.066038 
711656 366.266598 
889570 378.862862 
