#0.000000#
      0.00        1.00        2.00        3.00        4.00        5.00        6.00        7.00        8.00        9.00  

      0.00        1.00        2.00        3.00        4.00        5.00        6.00        7.00        8.00        9.00  

      0.00        1.00        2.00        3.00        4.00        5.00        6.00        7.00        8.00        9.00  

      0.00        1.00        2.00        3.00        4.00        5.00        6.00        7.00        8.00        9.00  

      0.00        1.00        2.00        3.00        4.00        5.00        6.00        7.00        8.00        9.00  

      0.00        1.00        2.00        3.00        4.00        5.00        6.00        7.00        8.00        9.00  

      0.00        1.00        2.00        3.00        4.00        5.00        6.00        7.00        8.00        9.00  

      0.00        1.00        2.00        3.00        4.00        5.00        6.00        7.00        8.00        9.00  

      0.00        1.00        2.00        3.00        4.00        5.00        6.00        7.00        8.00        9.00  

      0.00        1.00        2.00        3.00        4.00        5.00        6.00        7.00        8.00        9.00  

50 inf 
62 62.000000 
77 inf 
96 inf 
120 inf 
150 150.000000 
187 187.000000 
233 233.000000 
291 291.000000 
363 181.500000 
453 226.500000 
566 188.666667 
707 235.666667 
883 294.333333 
1103 275.750000 
1378 275.600000 
1722 246.000000 
2152 269.000000 
2690 269.000000 
3362 280.166667 
4202 262.625000 
5252 262.600000 
6565 262.600000 
8206 264.709677 
10257 263.000000 
12821 261.653061 
16026 267.100000 
20032 263.578947 
25040 260.833333 
31300 263.025210 
39125 264.358108 
48906 264.356757 
61132 263.500000 
76415 291.660305 
95518 290.328267 
119397 290.503650 
149246 311.578288 
186557 298.014377 
233196 289.325062 
291495 310.101064 
364368 323.307897 
455460 345.307051 
569325 367.306452 
711656 380.158120 
889570 419.015544 
